subject,model,K,n,acc,sigma2_item,sigma2_template,sigma2_resid,phi,phi_excl_resid,acc_spread
college_chemistry,tiiuae_falcon_40b,100,100,0.395,0.16953802673196608,0.0006046933986327927,0.07054076114682176,0.0025124009151911877,0.003554036271247101,0.15999999999999998
college_computer_science,codellama_codellama_34b_instruct,100,100,0.453,0.18965321905927965,0.00021281501887562477,0.059829609223548616,0.0008522976855406453,0.0011208693535359933,0.10999999999999999
college_computer_science,google_flan_t5_xl,100,100,0.3722,0.1935420467299255,0.0,0.0420741148862361,0.0,0.0,0.09999999999999998
jurisprudence,meta_llama_llama_3_8b,100,108,0.6982407407407407,0.1640861015835055,0.0003351794161763007,0.047806421780980456,0.0015793386621288986,0.0020385403527962377,0.14814814814814814
jurisprudence,meta_llama_llama_3_8b_instruct,100,108,0.7804629629629629,0.13715248714210293,0.0003613497382967789,0.0351034837820923,0.002093357357824501,0.0026277336629844505,0.12037037037037035
jurisprudence,mistralai_mistral_7b_instruct_v0_2,100,108,0.6886111111111111,0.17827471670670003,0.00033482977927422374,0.03747381219603441,0.001549539868856648,0.0018746466012695298,0.12962962962962965
jurisprudence,mistralai_mistral_7b_v0_1,100,108,0.6987962962962962,0.166002199216114,0.0006912321554066097,0.04533476859281636,0.0032600953812883127,0.004146727016891357,0.15740740740740744
jurisprudence,mistralai_mixtral_8x7b_instruct_v01,100,108,0.8026851851851852,0.1378110282471653,3.477138991157656e-05,0.021814274625801107,0.0002177838766022743,0.0002522484544550749,0.08333333333333326
jurisprudence,tiiuae_falcon_180b,100,108,0.794537037037037,0.1379155871627315,0.00015632265891871232,0.026457033121103736,0.0009501225506147151,0.0011321829264231726,0.11111111111111116
jurisprudence,tiiuae_falcon_40b,100,108,0.6485185185185185,0.18398905986133404,0.0,0.04573229700955558,0.0,0.0,0.09259259259259256
logical_fallacies,codellama_codellama_34b_instruct,100,163,0.6617791411042945,0.16554006320877485,0.00036348488291228567,0.05894679583841138,0.001616563606526152,0.0021909409840433587,0.12269938650306755
logical_fallacies,google_flan_t5_xl,100,163,0.6273006134969326,0.21445286769076813,0.0001366998776678392,0.02052327409518957,0.0005814224212534289,0.0006370294661423532,0.06134969325153372
logical_fallacies,google_flan_t5_xxl,100,163,0.6547239263803681,0.21268676310939427,0.0,0.014695649978540233,0.0,0.0,0.04907975460122693
logical_fallacies,google_flan_ul2,100,163,0.7185889570552147,0.18245482163909796,0.0,0.020922441104217974,0.0,0.0,0.05521472392638038
logical_fallacies,google_gemma_7b,100,163,0.7374846625766871,0.14463957915900658,6.431045285851005e-05,0.04978820240578932,0.00033065844575661446,0.000444427948903157,0.10429447852760731
logical_fallacies,google_gemma_7b_it,100,163,0.5287116564417178,0.1979565097311064,0.0009182333063269216,0.05152769840340847,0.0036670301656937182,0.004617143898227874,0.2822085889570552
logical_fallacies,ibm_mistralai_merlinite_7b,100,163,0.777361963190184,0.1344647566324458,3.924727851107889e-06,0.039429055379975625,2.256917154114388e-05,2.918692896669321e-05,0.09202453987730053
logical_fallacies,meta_llama_llama_3_70b_instruct,100,163,0.84,0.11746671440604636,5.53134159132803e-06,0.01764954704968338,4.093596951917955e-05,4.708636968778868e-05,0.049079754601227044
logical_fallacies,meta_llama_llama_3_8b,100,163,0.7370552147239264,0.15726168754116948,0.0,0.037526618146931714,0.0,0.0,0.06748466257668717
logical_fallacies,meta_llama_llama_3_8b_instruct,100,163,0.7506134969325153,0.1551446602662235,9.95258959358029e-05,0.03290351060403321,0.0005289774876143277,0.0006410925806383742,0.09202453987730064
logical_fallacies,mistralai_mistral_7b_instruct_v0_2,100,163,0.7195092024539878,0.16496321237061973,1.4956808867283966e-05,0.03785205688636727,7.374053245115368e-05,9.065932142216826e-05,0.07361963190184051
logical_fallacies,mistralai_mistral_7b_v0_1,100,163,0.72079754601227,0.1437125706814414,0.0003007427910858958,0.058123375694382286,0.0014878189225587077,0.00208829853181086,0.13496932515337423
logical_fallacies,mistralai_mixtral_8x7b_instruct_v01,100,163,0.7583435582822086,0.1491120781395719,6.654441101157771e-05,0.03499759390466048,0.00036130838330989627,0.0004460720301195557,0.07361963190184051
logical_fallacies,tiiuae_falcon_180b,100,163,0.7848466257668711,0.15418523644381404,2.9982472609148077e-05,0.015594359102652671,0.0001765652618592571,0.00019441967413992423,0.06134969325153372
logical_fallacies,tiiuae_falcon_40b,100,163,0.640920245398773,0.18455728993334083,0.0,0.04684011974627744,0.0,0.0,0.06748466257668706
machine_learning,codellama_codellama_34b_instruct,100,112,0.41446428571428573,0.19498994123994123,0.0,0.04944538694538695,0.0,0.0,0.0982142857142857
machine_learning,google_flan_t5_xl,100,112,0.30741071428571426,0.17524093899093898,0.0006803719303719306,0.03856295418795418,0.0031721298064700805,0.0038674787426763715,0.1339285714285714
machine_learning,google_flan_t5_xxl,100,112,0.34419642857142857,0.2141239941239941,3.323128323128315e-05,0.013481379106379105,0.0001459826346339121,0.00015517236538759325,0.05357142857142855
machine_learning,google_flan_ul2,100,112,0.3796428571428571,0.2247847035347035,5.0147550147550264e-05,0.012687947687947686,0.00021112731243756798,0.0002230417121971226,0.0625
machine_learning,google_gemma_7b,100,112,0.488125,0.16615583115583113,0.0,0.08523332585832585,0.0,0.0,0.1428571428571429
machine_learning,google_gemma_7b_it,100,112,0.3919642857142857,0.17292644917644917,0.0014417664417664415,0.06552432302432303,0.0060100512084488075,0.008268516350039574,0.1785714285714286
machine_learning,ibm_mistralai_merlinite_7b,100,112,0.5109821428571428,0.20304938054938051,0.0004438366938366945,0.04820785883285883,0.001763348416128924,0.002181088391296189,0.14285714285714285
machine_learning,meta_llama_llama_3_70b_instruct,100,112,0.7121428571428572,0.18542849667849665,3.3231283231282965e-05,0.02119151619151619,0.00016080697579874545,0.00017918135238198903,0.0803571428571429
machine_learning,meta_llama_llama_3_8b,100,112,0.45098214285714283,0.1848767111267111,0.0,0.06439372001872001,0.0,0.0,0.11607142857142855
machine_learning,meta_llama_llama_3_8b_instruct,100,112,0.5216071428571428,0.20716575341575344,0.00015764140764140764,0.04406494156494156,0.0006270832207501003,0.0007603647807122393,0.13392857142857145
machine_learning,mistralai_mistral_7b_instruct_v0_2,100,112,0.5051785714285715,0.18685752310752313,0.0,0.06487510237510238,0.0,0.0,0.12500000000000006
machine_learning,mistralai_mistral_7b_v0_1,100,112,0.5020535714285714,0.17556398931398928,0.0,0.07623861686361685,0.0,0.0,0.10714285714285715
machine_learning,mistralai_mixtral_8x7b_instruct_v01,100,112,0.5569642857142857,0.1711377123877124,0.0,0.07719079469079469,0.0,0.0,0.12500000000000006
machine_learning,tiiuae_falcon_180b,100,112,0.48964285714285716,0.19261217386217386,5.620880620880618e-05,0.05894992394992394,0.00022338917610661911,0.00029173861030199106,0.12500000000000006
machine_learning,tiiuae_falcon_40b,100,112,0.29910714285714285,0.17104294229294234,3.250003249997522e-08,0.040129837629837635,1.5390254136930899e-07,1.9001091707690576e-07,0.12500000000000003
management,codellama_codellama_34b_instruct,100,103,0.6123300970873786,0.1901558512980558,0.0009056681415333635,0.04818033754641407,0.0037855756218542866,0.004740191244107228,0.19417475728155342
management,google_flan_t5_xl,100,103,0.7136893203883495,0.1952016452359114,2.163266012495014e-05,0.011010043323007344,0.00010489410730079718,0.00011080983967736848,0.06796116504854366
management,google_flan_t5_xxl,100,103,0.7417475728155339,0.1770966085757633,7.40125411741629e-05,0.01610917859347328,0.00038292952126945073,0.0004177472580248652,0.06796116504854366
management,google_flan_ul2,100,103,0.7685436893203883,0.1560112451374587,0.0,0.02346524448751747,0.0,0.0,0.06796116504854366
management,google_gemma_7b,100,103,0.8004854368932038,0.11725147919322676,4.63035071830043e-05,0.043553774947264375,0.0002878648355052086,0.00039475176867808385,0.09708737864077666
management,google_gemma_7b_it,100,103,0.6006796116504854,0.19213897974606142,0.0012974404236540179,0.04831028733941355,0.005366941444714498,0.0067073223466174664,0.28155339805825247
management,ibm_mistralai_merlinite_7b,100,103,0.7874757281553398,0.13269417956453933,0.0003337390658921208,0.03562487621311151,0.001978852862780758,0.0025087896535410025,0.10679611650485432
management,meta_llama_llama_3_70b_instruct,100,103,0.8811650485436893,0.08477874115224196,0.000144736918009335,0.020616271221639584,0.0013713972127130665,0.0017043215998478558,0.07766990291262144
management,meta_llama_llama_3_8b,100,103,0.7763106796116505,0.12735381609739124,0.000972008299249874,0.04657727090051476,0.005557410505505674,0.007574533838532005,0.1941747572815533
management,meta_llama_llama_3_8b_instruct,100,103,0.7786407766990291,0.1381847602235952,6.518641584318302e-05,0.03545506463838845,0.00037527078443881347,0.00047151132732941957,0.08737864077669899
management,mistralai_mistral_7b_instruct_v0_2,100,103,0.7260194174757282,0.1486741390681996,0.0008095422144536926,0.05088801589087139,0.004040202413181228,0.005415589230258241,0.16504854368932043
management,mistralai_mistral_7b_v0_1,100,103,0.721747572815534,0.14579955273273376,0.0010371370279993917,0.055422606033685415,0.005127759512490164,0.007063200823236899,0.22330097087378642
management,mistralai_mixtral_8x7b_instruct_v01,100,103,0.8284466019417476,0.11275330883554757,0.00016096622036085154,0.030307799102773408,0.0011238925375603081,0.001425561296666437,0.09708737864077666
management,tiiuae_falcon_180b,100,103,0.8259223300970874,0.12002422857933988,4.0380965566558396e-07,0.02491770936088469,2.786002011492391e-06,3.3643898558826766e-06,0.06796116504854366
management,tiiuae_falcon_40b,100,103,0.709126213592233,0.15428470888208184,0.00017156141656427164,0.05331475808917271,0.0008257234798108643,0.0011107442658854327,0.13592233009708732
marketing,codellama_codellama_34b_instruct,100,234,0.7725213675213676,0.13507289245486673,2.4525360719924447e-05,0.04121392754439965,0.00013910256693832964,0.0001815383381598199,0.07692307692307698
