corpus,cell,K_available,K_pool,n_subsets,phi_min,phi_p25,phi_med,phi_p75,phi_max,phi_full,phi_greedy_min,phi_greedy_max
PromptEval,moral_scenarios|google_flan_t5_xl,100,3,1500,0.0,4.623444664824616e-06,9.555458236470851e-05,0.00030156535617188203,0.0013588657876551912,0.00018520304533904168,0.0,0.0014715069063649612
PromptEval,moral_scenarios|google_flan_t5_xl,100,4,1500,0.0,2.441502083819068e-05,0.00013316269706926154,0.0002709399650059093,0.0011708110784903255,0.00018520304533904168,0.0,0.0014474838082559408
PromptEval,moral_scenarios|google_flan_t5_xl,100,5,1500,0.0,4.709728424901085e-05,0.00014961795979673298,0.0002706959342103985,0.000933666389895453,0.00018520304533904168,0.0,0.0012967288495983073
PromptEval,moral_scenarios|google_flan_t5_xl,100,6,1500,0.0,6.719072623165673e-05,0.00015434144994840688,0.00026648500216431236,0.0008835309640220925,0.00018520304533904168,0.0,0.0012105856383846602
PromptEval,moral_scenarios|google_flan_t5_xl,100,8,1500,0.0,8.635090041308495e-05,0.00016283763850417655,0.0002758756605687968,0.0007585149845942987,0.00018520304533904168,0.0,0.0010763069299252106
PromptEval,moral_scenarios|google_flan_t5_xl,100,10,1500,0.0,0.00010086059363413827,0.00017146052546195006,0.00026428256692892906,0.0006054972590146436,0.00018520304533904168,0.0,0.0009757913323964581
PromptEval,moral_scenarios|google_flan_t5_xl,100,20,1500,0.0,0.00013228379841973836,0.00018148016267138326,0.00023574838461825178,0.00043465565176251006,0.00018520304533904168,,
PromptEval,moral_scenarios|google_flan_t5_xl,100,50,1500,7.366306788997708e-05,0.00015966421689685145,0.00018421666610936866,0.00020980521836117336,0.0002825907356952124,0.00018520304533904168,,
PromptEval,moral_scenarios|google_flan_t5_xl,100,100,1,0.00018520304533904168,0.00018520304533904168,0.00018520304533904168,0.00018520304533904168,0.00018520304533904168,0.00018520304533904168,,
PromptEval,moral_scenarios|google_gemma_7b_it,100,2,1500,0.0,0.0,0.0,0.00029750518606803207,0.003206753277538897,0.0001625149362896645,0.0,0.004527573181631358
PromptEval,moral_scenarios|google_gemma_7b_it,100,3,1500,0.0,0.0,6.439301652236385e-05,0.000299472630229802,0.0022415357660313102,0.0001625149362896645,0.0,0.002839643652561245
PromptEval,moral_scenarios|google_gemma_7b_it,100,4,1500,0.0,0.0,9.407997092961652e-05,0.0003032498275770966,0.0016725888379897694,0.0001625149362896645,0.0,0.0025218051433095576
PromptEval,moral_scenarios|google_gemma_7b_it,100,5,1500,0.0,0.0,0.00012353880362043487,0.00029052153358512207,0.0013381934260446047,0.0001625149362896645,0.0,0.0020946079931291597
PromptEval,moral_scenarios|google_gemma_7b_it,100,6,1500,0.0,2.609641859437891e-06,0.00013353756714551255,0.000304679030020255,0.001128513498874749,0.0001625149362896645,0.0,0.0019294148498082513
PromptEval,moral_scenarios|google_gemma_7b_it,100,8,1500,0.0,4.319046062862053e-05,0.00014107534025202146,0.0002738714762661103,0.0011656116957203938,0.0001625149362896645,0.0,0.001652007473909674
PromptEval,moral_scenarios|google_gemma_7b_it,100,10,1500,0.0,4.7763793211176765e-05,0.00013994856585194422,0.00025245881414539173,0.0008070635033608054,0.0001625149362896645,0.0,0.0014591451648387082
PromptEval,moral_scenarios|google_gemma_7b_it,100,20,1500,0.0,8.362548308988666e-05,0.00015301183851057422,0.00022773580309725112,0.0005726731937556399,0.0001625149362896645,,
PromptEval,moral_scenarios|google_gemma_7b_it,100,50,1500,0.0,0.00012617201564584017,0.00016177643961812492,0.0001975013317837269,0.00031693073358252414,0.0001625149362896645,,
PromptEval,moral_scenarios|google_gemma_7b_it,100,100,1,0.0001625149362896645,0.0001625149362896645,0.0001625149362896645,0.0001625149362896645,0.0001625149362896645,0.0001625149362896645,,
PromptEval,moral_scenarios|meta_llama_llama_3_70b_instruct,100,2,1500,0.0,0.0,0.0006890736107356397,0.002610937305655853,0.054181970706933286,0.0032948888420109143,0.0,0.0549903018341444
PromptEval,moral_scenarios|meta_llama_llama_3_70b_instruct,100,3,1500,0.0,0.00031319193060839134,0.0012126620550267397,0.00312456036046753,0.03374048081230405,0.0032948888420109143,0.0,0.03878723588762129
PromptEval,moral_scenarios|meta_llama_llama_3_70b_instruct,100,4,1500,0.0,0.0005110461392507853,0.0014300177668208833,0.0033260434990586823,0.026619159995681218,0.0032948888420109143,0.0,0.03219111005003823
PromptEval,moral_scenarios|meta_llama_llama_3_70b_instruct,100,5,1500,0.0,0.0006328642684184814,0.001463119846799366,0.003483909135732021,0.02175881277363776,0.0032948888420109143,0.0,0.029534671043957336
PromptEval,moral_scenarios|meta_llama_llama_3_70b_instruct,100,6,1500,0.0,0.0008911528646997071,0.0017249568643149765,0.004802277330136533,0.024244442182352628,0.0032948888420109143,0.0,0.027142490912524284
PromptEval,moral_scenarios|meta_llama_llama_3_70b_instruct,100,8,1500,0.0,0.0009774710784741635,0.0017843846342570071,0.005197639504254659,0.015891241093592957,0.0032948888420109143,0.0,0.02469754838159047
PromptEval,moral_scenarios|meta_llama_llama_3_70b_instruct,100,10,1500,0.0,0.0011232502992774421,0.0020480495802717223,0.005110048428864356,0.01533132287290906,0.0032948888420109143,0.0,0.022958895524454626
PromptEval,moral_scenarios|meta_llama_llama_3_70b_instruct,100,20,1500,0.0002321156482831087,0.0016021765946348562,0.0031283134164971967,0.004559469665632963,0.009716042073101104,0.0032948888420109143,,
PromptEval,moral_scenarios|meta_llama_llama_3_70b_instruct,100,50,1500,0.0006504603500265568,0.002668735082920942,0.0033866314226142467,0.004042098430891294,0.005897201365115772,0.0032948888420109143,,
PromptEval,moral_scenarios|meta_llama_llama_3_70b_instruct,100,100,1,0.0032948888420109143,0.0032948888420109143,0.0032948888420109143,0.0032948888420109143,0.0032948888420109143,0.0032948888420109143,,
PromptEval,moral_scenarios|meta_llama_llama_3_8b_instruct,100,2,1500,0.0,0.0,0.0002359965450163394,0.0012943925292607634,0.016015558258037924,0.0009377494063688,0.0,0.016439635947200278
PromptEval,moral_scenarios|meta_llama_llama_3_8b_instruct,100,3,1500,0.0,4.660878494234683e-05,0.0004949047709872647,0.001369642163155771,0.009167793579695783,0.0009377494063688,0.0,0.010892911166863613
PromptEval,moral_scenarios|meta_llama_llama_3_8b_instruct,100,4,1500,0.0,0.00018261597937956536,0.0006174876021914841,0.0014073029404224674,0.006673384141255682,0.0009377494063688,0.0,0.00881703641019219
PromptEval,moral_scenarios|meta_llama_llama_3_8b_instruct,100,5,1500,0.0,0.0002687756986443979,0.0006763780826373038,0.0013283234595638915,0.005144407010153522,0.0009377494063688,0.0,0.007796960176307958
PromptEval,moral_scenarios|meta_llama_llama_3_8b_instruct,100,6,1500,0.0,0.0003418074016399759,0.0007922098906923691,0.0013108566000107746,0.005195253604484278,0.0009377494063688,0.0,0.007077795907580813
PromptEval,moral_scenarios|meta_llama_llama_3_8b_instruct,100,8,1500,0.0,0.00042027302711206144,0.0008122852814361787,0.001334947068333336,0.004258747883956523,0.0009377494063688,0.0,0.006241545973780422
PromptEval,moral_scenarios|meta_llama_llama_3_8b_instruct,100,10,1500,0.0,0.0005235482155926422,0.0008501342278511992,0.0012742878512675263,0.003488754753147306,0.0009377494063688,0.0,0.00563385996807393
PromptEval,moral_scenarios|meta_llama_llama_3_8b_instruct,100,20,1500,2.6148257500214132e-05,0.0006410480523459294,0.0008863902266316073,0.0011986406697945013,0.0023937958394629646,0.0009377494063688,,
PromptEval,moral_scenarios|meta_llama_llama_3_8b_instruct,100,50,1500,0.00031146634310842404,0.0007969005510616324,0.0009371136282219487,0.0010791527951336255,0.0015181525259541937,0.0009377494063688,,
PromptEval,moral_scenarios|meta_llama_llama_3_8b_instruct,100,100,1,0.0009377494063688,0.0009377494063688,0.0009377494063688,0.0009377494063688,0.0009377494063688,0.0009377494063688,,
PromptEval,moral_scenarios|mistralai_mistral_7b_instruct_v0_2,100,2,1500,0.0,0.0,0.00018510688626489563,0.001175345631300052,0.014075372152340804,0.0008837430013193553,0.0,0.014075372152340804
PromptEval,moral_scenarios|mistralai_mistral_7b_instruct_v0_2,100,3,1500,0.0,3.0560745545528266e-05,0.0005088246838681415,0.0013912010130061525,0.007989384347441461,0.0008837430013193553,0.0,0.009692077097925033
PromptEval,moral_scenarios|mistralai_mistral_7b_instruct_v0_2,100,4,1500,0.0,0.00013992649482486746,0.0005833265143939374,0.0013132226768760844,0.005505477929749023,0.0008837430013193553,0.0,0.008977483562906742
PromptEval,moral_scenarios|mistralai_mistral_7b_instruct_v0_2,100,5,1500,0.0,0.0002993229423690953,0.0007472280740277006,0.0013987343623840208,0.005244283223058331,0.0008837430013193553,0.0,0.007948894220918368
PromptEval,moral_scenarios|mistralai_mistral_7b_instruct_v0_2,100,6,1500,0.0,0.0003062111790812169,0.0007590779537216825,0.001304275693904948,0.004422312391550572,0.0008837430013193553,0.0,0.007573355095173841
PromptEval,moral_scenarios|mistralai_mistral_7b_instruct_v0_2,100,8,1500,0.0,0.0004132926220129266,0.0007900238227594486,0.0012344550057016008,0.0033560230293391766,0.0008837430013193553,0.0,0.006420189995356903
PromptEval,moral_scenarios|mistralai_mistral_7b_instruct_v0_2,100,10,1500,0.0,0.00047862807231726083,0.0008112593256466747,0.0012273196192217916,0.003326970706276551,0.0008837430013193553,0.0,0.005635121374143513
PromptEval,moral_scenarios|mistralai_mistral_7b_instruct_v0_2,100,20,1500,5.657877204646372e-06,0.0006481533236008945,0.0008736903347523644,0.0011149925556038684,0.002064924187590725,0.0008837430013193553,,
PromptEval,moral_scenarios|mistralai_mistral_7b_instruct_v0_2,100,50,1500,0.0002920443209622564,0.0007622012618353265,0.0008762534733331169,0.0010003761456525225,0.00144239973951846,0.0008837430013193553,,
PromptEval,moral_scenarios|mistralai_mistral_7b_instruct_v0_2,100,100,1,0.0008837430013193553,0.0008837430013193553,0.0008837430013193553,0.0008837430013193553,0.0008837430013193553,0.0008837430013193553,,
PromptEval,moral_scenarios|tiiuae_falcon_40b,100,2,1500,0.0,0.0,0.00020818597768681633,0.0013643403384777674,0.009223273890324865,0.0007775721818595177,0.0,0.010196984375388138
PromptEval,moral_scenarios|tiiuae_falcon_40b,100,3,1500,0.0,0.0,0.00048553992943401424,0.001471828036302936,0.006065747613997884,0.0007775721818595177,0.0,0.006451119058655431
PromptEval,moral_scenarios|tiiuae_falcon_40b,100,4,1500,0.0,7.113153924665896e-05,0.00069095231472647,0.0013893154902189008,0.004646035449073351,0.0007775721818595177,0.0,0.005916956637071485
PromptEval,moral_scenarios|tiiuae_falcon_40b,100,5,1500,0.0,0.00019068437009776932,0.0007056689709312792,0.0012640364686186199,0.0032065028949411225,0.0007775721818595177,0.0,0.005185858773783287
PromptEval,moral_scenarios|tiiuae_falcon_40b,100,6,1500,0.0,0.00027470801604285923,0.0007111904893700439,0.001186052744898667,0.0033121503489609225,0.0007775721818595177,0.0,0.004837904758648842
PromptEval,moral_scenarios|tiiuae_falcon_40b,100,8,1500,0.0,0.00039845761582280915,0.0007678803638000155,0.001110466863605043,0.0025420434828092482,0.0007775721818595177,0.0,0.004348853107318122
PromptEval,moral_scenarios|tiiuae_falcon_40b,100,10,1500,0.0,0.0004645380783253428,0.0007818741334721217,0.0010583990953080412,0.002808459368578942,0.0007775721818595177,0.0,0.004057535491612089
PromptEval,moral_scenarios|tiiuae_falcon_40b,100,20,1500,0.0,0.0005861083011577137,0.0007895901552997453,0.0009928616221907042,0.0017814119003055002,0.0007775721818595177,,
PromptEval,moral_scenarios|tiiuae_falcon_40b,100,50,1500,0.0003458104706122084,0.0006739476802784127,0.0007778932055455151,0.0008744734459434794,0.0013016422025122266,0.0007775721818595177,,
PromptEval,moral_scenarios|tiiuae_falcon_40b,100,100,1,0.0007775721818595177,0.0007775721818595177,0.0007775721818595177,0.0007775721818595177,0.0007775721818595177,0.0007775721818595177,,
PromptEval,philosophy|codellama_codellama_34b_instruct,100,2,1500,0.0,0.0,0.0,0.0001262587113737636,0.00820677693641863,0.0,0.0,0.00820677693641863
PromptEval,philosophy|codellama_codellama_34b_instruct,100,3,1500,0.0,0.0,0.0,0.0001272213614788627,0.003969491621537325,0.0,0.0,0.004823082504588333
PromptEval,philosophy|codellama_codellama_34b_instruct,100,4,1500,0.0,0.0,0.0,0.0001418752412139546,0.003119426423460364,0.0,0.0,0.00419445878749726
PromptEval,philosophy|codellama_codellama_34b_instruct,100,5,1500,0.0,0.0,0.0,0.0001531887894755707,0.0018080715041108046,0.0,0.0,0.003609246830723343
PromptEval,philosophy|codellama_codellama_34b_instruct,100,6,1500,0.0,0.0,0.0,0.00013977607100858295,0.0020815927724833275,0.0,0.0,0.0033470007249003265
PromptEval,philosophy|codellama_codellama_34b_instruct,100,8,1500,0.0,0.0,0.0,9.864987397461628e-05,0.0014767405793483274,0.0,0.0,0.0028461889742037575
PromptEval,philosophy|codellama_codellama_34b_instruct,100,10,1500,0.0,0.0,0.0,8.526197374967316e-05,0.0011652209818966515,0.0,0.0,0.0023945935231766842
PromptEval,philosophy|codellama_codellama_34b_instruct,100,20,1500,0.0,0.0,0.0,2.6966190588179616e-05,0.0005837876203460623,0.0,,
PromptEval,philosophy|codellama_codellama_34b_instruct,100,50,1500,0.0,0.0,0.0,0.0,0.00021410675073136126,0.0,,
PromptEval,philosophy|codellama_codellama_34b_instruct,100,100,1,0.0,0.0,0.0,0.0,0.0,0.0,,
PromptEval,philosophy|google_flan_t5_xl,100,2,1500,0.0,0.0,0.0,0.0004135563786037396,0.007709750566893429,0.00024224656166473848,0.0,0.00939237899073119
